,Full_Address,Percent_Increase,Rental price (per month) BEFORE the increase,Rental price (per month) AFTER the increase,Latitude,Longitude
0,"11708 exposition blvd , Los Angeles , Ca, 90064",40,5000,7000,34.0324795,-118.4468625
1,"716 Rochedale Way, Los Angeles, CA, 90049",33,8995,12000,34.0715616,-118.486846
2,"3512 Crestmont Ave, Los Angeles, CA, 90026",22,9000,11000,34.0923713,-118.2745262
3,"8966 Shoreham Dr, Los Angeles, CA, 90069",35,8500,11500,34.0912554,-118.3873058
4,"1923 Sunset Plaza, Los Angeles, CA, 90069",13,11850,13500,34.1037124,-118.3818782
5,"Undisclosed Address, Los Angeles, CA, 90046",30,11500,15000,34.1147313,-118.3637264
6,"1915 S Crescent Heights Blvd, Los Angeles, CA, 90034",51,6600,10000,34.0419943,-118.3755898
7,"23716 Archwood St, West Hills, CA, 91307",23,10500,13000,34.1913536,-118.6435057
8,"6255 W Olympic Blvd #2, Los Angeles, CA, 90048",172,5500,15000,34.0587852,-118.3670649
9,"2700 Cahuenga Blvd E APT 4111, Los Angeles, CA, 90068",12,3200,3600,34.1182789,-118.3362348
10,"3715 kelton ave apt 3, los angeles, CA, 90034",21,3695,4500,34.017497,-118.4132693
11,"5059 Hermosa Ave, Los Angeles, CA, 90041",20,2995,3600,34.1379572,-118.2077074
12,"1427 Columbia Dr, Glendale, CA, 91205",129,8500,19500,34.1278404,-118.2415194
13,"3931Berry Drive, Studio City, CA, 91604",60,10000,16000,34.1389417,-118.3820456
14,"1941 Glencod Way, Los Angeles, CA, 90068",47,8500,12500,34.10617939999999,-118.339232
15,"256 S Van Ness, Los Angeles, CA, 90004",25,8000,10000,34.0694953,-118.3152732
16,"649 N Edinburgh Ave, Los Angeles, CA, 90048",45,24000,35000,34.0829817,-118.3640755
17,"6105 Del Valle Dr, Los Angeles, CA, 90068",38,8999,12500,34.0613125,-118.3627019
18,"1916 W Court St, Los Angeles, CA, 90026",45,9995,14500,34.0684012,-118.2670175
19,"1702 Sunset Plaza Dr, Los Angeles, CA, 90069",12,20000,22500,34.1018427,-118.3794987
20,"8405 Edwin Dr, Los Angeles, CA, 90046",41,15495,22000,34.1213163,-118.3837084
21,"2229 Willetta St, Los Angeles, CA, 90068",57,10500,16500,34.1112675,-118.3276786
22,"7177 Pacific View Dr, Los Angeles, CA, 90068",16,14995,17500,34.122153,-118.3489048
23,"2309 Hollyridge Dr, Los Angeles, CA, 90068",27,17995,23000,34.1100251,-118.3195858
24,"1914 Laurel Canyon Blvd, Los Angeles, CA, 90046",27,33000,42000,34.1063244,-118.3668439
25,"1456 Sunset Plaza Dr, Los Angeles, CA, 90069",31,19000,25000,34.0964602,-118.3818136
26,"1470 Blue Jay Way, Los Angeles, CA, 90069",35,21000,28500,34.0982387,-118.3866375
27,"9289 Swallow Dr, Los Angeles, CA, 90069",19,20000,23995,34.1059349,-118.3903962
28,"3663 Edenhurst Dr, Los Angeles, CA, 90039",12,8000,9000,34.1191127,-118.2616592
29,"2260 Maravilla Dr, Los Angeles, CA, 90068",17,29900,34999,34.1114021,-118.3433051
30,"1610 S Hayworth Ave, Los Angeles, CA, 90035",25,6995,8790,34.0472875,-118.3684152
31,"8401 Wyndham Rd, Los Angeles, CA, 90046",17,19950,23500,34.1121837,-118.3750023
32,"8400 Grand View Dr, Los Angeles, CA, 90046",20,24985,29995,34.1026029,-118.3736679
33,"1780 S Garth Ave, Los Angeles, CA , 90035",16,6000,7000,34.0450849,-118.3777044
34,"7612 Willow Glen Rd, Los Angeles, CA, 90046",30,19485,25495,34.1182808,-118.3662105
35,"2379 Venus Dr, Los Angeles, CA, 90046",26,30000,38000,34.1135432,-118.3663176
36,"1235 Highland Oaks Dr, Arcadia, Ca, 91006",13,5495,6250,34.1541996,-118.0291553
37,"361 Norumbega Dr, Monrovia, Monrovia, CA, 91016",11,4500,5000,34.1583688,-117.9897248
38,"2030 S Chapel Ave, Alhambra, Ca, 91801",19,4850,5800,34.0703104,-118.1193257
39,"907 Pine Grove Ave, Los angeles, Ca, 90042",10,5250,5800,34.1314625,-118.1868437
40,"3711 Flora Ave, Los Angeles, Ca, 90031",19,4200,5000,34.0806879,-118.2012501
41,"915 Edie Dr, Duarte, Ca, 91010",20,9995,11995,34.1416462,-117.9530498
42,"2527 E Cameron Ave, West covina, Ca, 91791",167,2800,7500,34.0614904,-117.8914225
43,"3512 Crestmont Ave, los angeles, ca, 90026",22,9000,11000,34.0923713,-118.2745262
44,"1851 tamerlane dr, glendale, ca, 91208",8,11950,13000,34.176682,-118.223457
45,"3113 Prospect Ave, La Crescenta, ca, 91214",250,2000,7000,34.2260246,-118.2470121
46,"3055 Landa St, , Los Angeles, , CA , 90039",33,9000,12000,34.0954998,-118.2679795
47,"8 Rancho Laguna dr, Pomona, Ca, 91766",16,7500,8768,34.041629,-117.7949179
48,"1218 E Tujunga Ave, Burbank, Ca, 91501",37,7900,10900,34.1926024,-118.2926455
49,"6505 Pacific Ave #1, Playa Del Rey, CA, 90293",81,3795,6900,33.9605491,-118.4519823
50,"1670 Arboles Dr, Glendale, CA, 91207",51,11800,17900,34.1733712,-118.2361427
51,"17845 Calle Barcelona, Rowland Heights, CA, 91748",38,9000,12500,33.9886076,-117.9171881
52,"2950 Warwick Ave, Los Angeles , CA , 90032",20,3500,4200,34.0800115,-118.1661923
53,"2943 Virginia Ave, Santa Monica, CA, 90404",76,19800,35000,34.02746460000001,-118.4607325
54,"130 S Meredith Ave Apartment 1, Pasadena, CA, 91106",75,1000,1750,34.1436225,-118.1140908
55,"710 Westbourne Dr, West Hollywood, CA, 90069",26,9500,11995,34.0839867,-118.3792821
56,"1026 E Verdugo Ave, Burbank, CA, 91501",9,7865,8650,34.188542,-118.2949016
57,"223 Lake Shore Terrace Unit 1/2, Los Angeles, CA, 90026",12,1995,2250,34.0650451,-118.2611819
58,"Undisclosed Address, Venice, CA, 90291",48,19500,29000,33.9962144,-118.4688776
59,"2390 Nalin Dr, Los Angeles, CA, 90077",19,8350,9950,34.119091,-118.4661501
60,"1439 Cabrillo Ave, Venice, CA, 90291",18,7200,8500,33.9900514,-118.4657775
61,"636 Acanto St APT 104, Los Angeles, CA, 90049",19,2600,3100,34.0771003,-118.4680627
62,"1916 W. Court St., Los Angeles, CA, 90026",45,9995,14500,34.0684012,-118.2670175
63,"3715 Kelton Ave APT 3, Los Angeles, CA, 90034",21,3695,4500,34.017497,-118.4132693
64,"16754 Armstead St,  Granada Hills, CA, 91344",16,6000,7000,34.2820287,-118.4975235
65,"14949 La Cumbre Dr, Los Angeles, CA, 90272",18,29500,35000,34.0339175,-118.5223176
66,"2559 Hutton Dr, Beverly Hills, CA, 90210",31,7999,10500,34.1179119,-118.4328616
67,"1240 Morningside Way, Venice, CA, 90291",962,3000,31888,34.0041301,-118.4565317
68,"4800 Zelzah Ave, Encino, CA, 91316",128,35000,80000,34.1566195,-118.5225614
69,"1129 La Puerta St, Los Angeles, CA, 90023",14,3500,4000,34.0191629,-118.1935782
70,"114 Pacific Ave, Venice, CA, 90291",27,8995,11500,33.9967728,-118.4793023
71,"2950 Warwick Ave, Los Angeles, CA, 90032",20,3500,4200,34.0800115,-118.1661923
72,"636 Acanto St Apt 104, Los Angeles, CA, 90049",19,2600,3100,34.0771003,-118.4680627
73,"8700 Chalmers Dr #301, Los Angeles, CA, 90035",38,6500,9000,34.060791,-118.3816771
74,"28 26th Ave #A, Venice, CA, 90291",20,6600,7950,33.9820182,-118.4682347
75,"2950 Warwick Ave, Los Angeles, CA, 90032",20,3500,4200,34.0800115,-118.1661923
76,"4865 Eldred St, Los Angeles, CA, 90042",20,7500,9000,34.1085965,-118.2085137
77,"240 Howland Canal Ct, Venice, CA, 90291",70,20500,35000,33.9836098,-118.4660555
78,"2451 Century Hl, Century City, CA, 90035",-27,9000,6500,34.0549415,-118.4099511
79,"225 Sherman Canal Ct, Venice, CA, 90291",36,11000,15000,33.9832233,-118.4661853
80,"503 N Santa Anita Ave #A, Arcadia, CA, 91006",28,7000,9000,34.1457463,-118.0318541
81,"5316 Teesdale Ave, Los Angeles, CA, 91607",20,2500,3000,34.1671716,-118.4082965
82,"5351 Packard St, Los Angeles, CA, 90019",41,6200,8800,34.0505312,-118.3532031
83,"2205 Ocean Front Walk, Venice, CA, 90291",16,29995,35000,33.9837406,-118.4706913
84,"705 Chaucer Rd, San Marino, CA, 91108",13,10500,11900,34.1338705,-118.1038161
85,"121 N Croft Ave APT 205,, Los Angeles, CA, 90048",60,5000,8000,34.075184,-118.3745821
86,"9297 Burton Way #B, Beverly Hills, CA, 90210",39,6995,9750,34.0726553,-118.3959314
87,"6076 Hargis St, Los Angeles, CA, 90034",20,5000,6000,34.0322212,-118.3766799
88,"1026 E Verdugo Ave, Burbank, CA, 91501",52,7865,12000,34.188542,-118.2949016
89,"1817 N Silver Lake Blvd, Los Angeles, CA, 90026",46,4750,6950,34.1041153,-118.2583994
90,"150 Fern Dr, Pasadena, CA, 91105",20,25000,30000,34.14576110000001,-118.1682885
91,"1390 Rose Avenue, Venice, Other, 90291",58,11900,18900,34.0079133,-118.4550301
92,"77 E Altadena Drive, Altadena, CA, 91001",21,2300,2800,34.194501,-118.1458458
93,"9982 Beverly Grv, Beverly Hills, CA, 90210",30,65000,85000,34.0951502,-118.4273316
94,"210 N California St, Burbank, CA, 91505",61,4900,7900,34.1560648,-118.3363273
95,"3572 E Green St, Pasadena, CA, 91107",10,3800,4200,34.1450013,-118.0772201
96,"2950 Tyburn St, Los Angeles, CA, 90039",18,3800,4500,34.1123418,-118.2619812
